OSEBuildingID,BuildingType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ComplianceStatus,ENERGYSTARScore,Outlier,SiteEnergyUse(kBtu)
35,NonResidential,DOWNTOWN,1978,1.0,5,16200,52210,Hotel,47994.0,,,,,Compliant,57.0,,4456714.5
36,SPS-District K-12,NORTH,1949,1.0,2,0,160645,K-12 School,164229.0,,,,,Error - Correct Default Data,75.0,,6779173.0
37,SPS-District K-12,MAGNOLIA / QUEEN ANNE,1989,1.0,2,0,51582,K-12 School,55166.0,,,,,Missing Data,,,0.0
38,NonResidential,LAKE UNION,1906,1.0,3,0,87262,Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,Compliant,,,4145920.5
40,NonResidential,NORTHEAST,1994,1.0,4,0,81871,Hotel,81871.0,,,,,Compliant,29.0,,6668568.5
41,NonResidential,NORTHEAST,1955,1.0,2,0,110356,Self-Storage Facility,26225.0,,,,,Compliant,,,318364.8125
43,Campus,GREATER DUWAMISH,1992,1.0,3,0,494835,Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,Compliant,8.0,,448385312.0
46,NonResidential,GREATER DUWAMISH,1961,3.0,2,0,714095,Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,Compliant,,,44731160.0
50,SPS-District K-12,MAGNOLIA / QUEEN ANNE,1990,1.0,2,0,54986,K-12 School,54986.0,,,,,Compliant,97.0,,1650279.25
51,SPS-District K-12,NORTHEAST,1950,1.0,2,0,175565,K-12 School,182861.0,,,,,Error - Correct Default Data,88.0,,6399127.5
52,NonResidential,BALLARD,1961,1.0,2,0,94900,Office,55586.0,Non-Refrigerated Warehouse,39314.0,,,Compliant,57.0,,6186461.5
53,NonResidential,GREATER DUWAMISH,1900,1.0,2,0,52554,Office,51029.0,Other - Education,7849.0,,,Compliant,83.0,,2951331.25
54,NonResidential,NORTHWEST,1954,1.0,3,0,175015,K-12 School,175015.0,,,,,Compliant,95.0,,6994740.5
55,NonResidential,DOWNTOWN,1911,1.0,3,0,70586,Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,Compliant,,,2158629.0
56,NonResidential,DOWNTOWN,1969,1.0,24,205970,126240,Hotel,348630.0,,,,,Compliant,67.0,,16163194.0
57,NonResidential,DOWNTOWN,1973,1.0,5,0,168115,Office,103362.0,Retail Store,65676.0,Data Center,493.0,Compliant,78.0,,9536161.0
58,NonResidential,DOWNTOWN,1920,1.0,2,0,57428,Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,,,Compliant,,,1247362.0
59,NonResidential,DOWNTOWN,1910,1.0,8,0,59400,Office,34947.0,Retail Store,4993.0,,,Compliant,14.0,,5071974.0
60,NonResidential,DOWNTOWN,1926,1.0,2,0,52549,Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,Compliant,,,15026196.0
62,NonResidential,DOWNTOWN,1930,1.0,20,10043,88591,Hotel,83591.0,Parking,10043.0,Restaurant,5000.0,Compliant,71.0,,4841347.5
63,NonResidential,DOWNTOWN,1982,1.0,34,146694,847518,Hotel,994212.0,Parking,117668.0,Swimming Pool,0.0,Compliant,63.0,,80469216.0
65,NonResidential,DOWNTOWN,1985,1.0,7,0,71150,Hotel,41340.0,Parking,13730.0,Retail Store,9604.0,Compliant,98.0,,5348309.0
66,NonResidential,DOWNTOWN,1908,1.0,7,0,122810,Hotel,88360.0,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,Compliant,99.0,,5401277.5
67,NonResidential,LAKE UNION,1959,1.0,5,42546,70627,Hotel,70627.0,Parking,42546.0,,,Compliant,86.0,,5284343.5
68,NonResidential,LAKE UNION,2000,1.0,7,34735,115718,Hotel,107547.0,Restaurant,3000.0,,,Compliant,84.0,,6715187.0
69,NonResidential,LAKE UNION,1997,1.0,6,28200,88100,Hotel,88490.0,Parking,28300.0,,,Compliant,80.0,,5827595.5
70,NonResidential,MAGNOLIA / QUEEN ANNE,1998,1.0,6,36744,118858,Hotel,155602.0,,,,,Compliant,81.0,,6836900.0
73,NonResidential,EAST,1911,1.0,3,0,56072,K-12 School,56072.0,,,,,Compliant,76.0,,3234787.75
77,NonResidential,MAGNOLIA / QUEEN ANNE,1999,1.0,4,44891,78051,Hotel,78051.0,Parking,44891.0,,,Compliant,94.0,,5337334.0
82,NonResidential,CENTRAL,1962,1.0,2,0,54984,Office,54984.0,,,,,Compliant,71.0,,3375211.0
84,NonResidential,SOUTHWEST,1922,1.0,5,0,217603,Senior Care Community,296313.0,Parking,0.0,,,Compliant,54.0,,42792072.0
85,NonResidential,NORTHWEST,1970,1.0,2,0,93397,Senior Care Community,93397.0,,,,,Compliant,1.0,,16402563.0
86,NonResidential,LAKE UNION,2008,1.0,6,20732,63371,Hotel,63371.0,Parking,20732.0,,,Compliant,74.0,,3706100.25
87,SPS-District K-12,SOUTHWEST,1948,1.0,2,0,53352,K-12 School,65568.0,,,,,Missing Data,,,0.0
89,NonResidential,EAST,1965,0.0,3,0,179014,Medical Office,179014.0,,,,,Compliant,48.0,,16701055.0
95,NonResidential,EAST,1908,1.0,7,0,76631,Hotel,76631.0,,,,,Compliant,71.0,,7258758.5
96,NonResidential,EAST,1983,1.0,6,9341,90439,Medical Office,40174.0,Parking,20868.0,Office,17020.0,Compliant,,,15473117.0
98,NonResidential,LAKE UNION,1929,1.0,2,0,58320,Retail Store,72072.0,,,,,Compliant,96.0,,1049748.625
100,NonResidential,LAKE UNION,2010,1.0,5,0,316306,Office,261826.0,Parking,150726.0,Other,15139.0,Compliant,96.0,,13795954.0
102,NonResidential,LAKE UNION,1990,1.0,7,44766,238097,Hotel,235788.0,Parking,51537.0,,,Compliant,37.0,,19459304.0
103,Nonresidential COS,MAGNOLIA / QUEEN ANNE,1962,1.0,1,0,389000,Other,368000.0,,,,,Compliant,,,23658978.0
104,Nonresidential COS,MAGNOLIA / QUEEN ANNE,1962,1.0,1,0,91213,Other,65000.0,,,,,Compliant,,,8141155.5
106,Nonresidential COS,MAGNOLIA / QUEEN ANNE,1938,1.0,5,0,396085,Other,278500.0,,,,,Compliant,,,20955026.0
107,NonResidential,LAKE UNION,2010,1.0,12,0,571329,Office,598801.0,Parking,310699.0,Other,26203.0,Compliant,91.0,,39605888.0
110,Nonresidential COS,MAGNOLIA / QUEEN ANNE,1962,1.0,2,0,52000,Other,52000.0,,,,,Compliant,,,2726369.0
111,Nonresidential COS,MAGNOLIA / QUEEN ANNE,1928,1.0,1,0,60696,Other,108000.0,,,,,Compliant,,,875943.3125
112,Nonresidential COS,MAGNOLIA / QUEEN ANNE,1928,1.0,2,0,262048,Other,296000.0,,,,,Compliant,,,20723248.0
113,NonResidential,MAGNOLIA / QUEEN ANNE,1986,0.0,2,2352,63888,Office,45900.0,Data Center,5181.0,Distribution Center,4551.0,Compliant,,,4166306.25
114,NonResidential,MAGNOLIA / QUEEN ANNE,2010,1.0,6,303707,616891,Office,729584.0,Parking,185014.0,Other,6000.0,Compliant,93.0,,36667044.0
115,NonResidential,MAGNOLIA / QUEEN ANNE,1970,1.0,4,25930,50283,Office,48546.0,Parking,21454.0,Other,2406.0,Compliant,68.0,,3476212.5
116,NonResidential,MAGNOLIA / QUEEN ANNE,2002,1.0,6,36934,59976,Hotel,59976.0,Parking,36934.0,,,Compliant,56.0,,5155568.5
117,NonResidential,NORTHEAST,1962,2.0,4,0,50017,Hotel,50017.0,Swimming Pool,0.0,,,Compliant,53.0,,5448975.0
118,SPS-District K-12,DELRIDGE,1999,1.0,3,0,74468,K-12 School,75364.0,,,,,Missing Data,,,0.0
119,NonResidential,EAST,1923,1.0,3,0,67743,K-12 School,67743.0,,,,,Compliant,34.0,,2646879.0
120,NonResidential,EAST,1908,1.0,6,0,194104,K-12 School,194104.0,,,,,Compliant,100.0,,6219841.5
121,NonResidential,SOUTHEAST,2003,1.0,3,35752,63681,Office,63681.0,Parking,35752.0,,,Compliant,63.0,,4897760.0
122,SPS-District K-12,SOUTHEAST,1991,1.0,2,0,58933,K-12 School,60725.0,,,,,Missing Data,,,0.0
125,SPS-District K-12,GREATER DUWAMISH,1957,1.0,1,0,130862,K-12 School,134446.0,,,,,Error - Correct Default Data,61.0,,6456026.0
127,SPS-District K-12,SOUTHEAST,1989,1.0,3,0,59955,K-12 School,59955.0,,,,,Error - Correct Default Data,93.0,,1633399.375
130,SPS-District K-12,MAGNOLIA / QUEEN ANNE,1964,1.0,2,0,93218,K-12 School,93218.0,,,,,Error - Correct Default Data,86.0,,2887392.0
131,NonResidential,NORTHEAST,1941,1.0,4,0,56521,Other,49000.0,,,,,Compliant,,,6357632.0
132,NonResidential,NORTHEAST,1929,1.0,2,0,206934,Other,119146.0,Parking,0.0,,,Compliant,,,4253577.5
136,NonResidential,NORTHWEST,2001,1.0,4,0,51390,Hotel,51390.0,Parking,0.0,,,Compliant,89.0,,3611538.0
137,SPS-District K-12,NORTHWEST,1963,1.0,2,0,131013,K-12 School,131909.0,,,,,Error - Correct Default Data,88.0,,3894584.5
138,SPS-District K-12,NORTHWEST,1959,1.0,1,0,245587,K-12 School,245587.0,,,,,Compliant,92.0,,11765682.0
139,NonResidential,NORTHWEST,2002,1.0,3,0,69138,Hotel,70609.0,,,,,Compliant,78.0,,3242458.0
140,SPS-District K-12,LAKE UNION,1991,1.0,3,0,66588,K-12 School,66588.0,,,,,Missing Data,,,0.0
144,NonResidential,DOWNTOWN,1904,1.0,5,0,190980,Hotel,190980.0,Parking,19051.0,,,Compliant,98.0,,6505995.0
145,Nonresidential COS,DOWNTOWN,1998,1.0,6,0,284100,Other - Entertainment/Public Assembly,189750.0,,,,,Compliant,,,14641502.0
147,NonResidential,BALLARD,1954,4.0,5,0,285333,Hospital (General Medical & Surgical),302661.0,Parking,148865.0,,,Compliant,14.0,,68090728.0
148,SPS-District K-12,Ballard,1991,1.0,2,0,55513,K-12 School,59097.0,,,,,Error - Correct Default Data,93.0,,1513570.75
163,Nonresidential COS,DOWNTOWN,2006,1.0,4,0,61156,Other,42755.0,Office,29219.0,,,Compliant,,,9363374.0
167,NonResidential,DOWNTOWN,1910,1.0,4,13820,59000,Museum,58000.0,,,,,Compliant,,,2010454.625
168,NonResidential,MAGNOLIA / QUEEN ANNE,1996,1.0,4,14200,148022,Hotel,113702.0,Parking,32692.0,,,Compliant,76.0,,7946961.0
169,SPS-District K-12,SOUTHEAST,1990,1.0,4,0,289588,K-12 School,289588.0,,,,,Error - Correct Default Data,90.0,,8819852.0
170,NonResidential,EAST,1915,1.0,3,0,63330,College/University,64820.0,,,,,Compliant,,,3059758.0
172,Campus,DELRIDGE,1970,27.0,2,0,441071,College/University,483000.0,,,,,Compliant,,,38301744.0
173,NonResidential,NORTHEAST,2002,1.0,2,0,96300,Office,92300.0,Data Center,4944.0,,,Compliant,,,16319835.0
174,Nonresidential COS,GREATER DUWAMISH,1950,1.0,1,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,,,,,Compliant,,,7475577.5
175,SPS-District K-12,CENTRAL,2008,1.0,3,0,254523,K-12 School,254523.0,,,,,Error - Correct Default Data,60.0,,13567774.0
176,SPS-District K-12,SOUTHEAST,2001,1.0,3,0,78804,K-12 School,78804.0,,,,,Error - Correct Default Data,92.0,,2499140.0
177,SPS-District K-12,CENTRAL,2002,1.0,3,0,66994,K-12 School,66994.0,,,,,Error - Correct Default Data,79.0,,2371304.5
178,SPS-District K-12,GREATER DUWAMISH,2000,1.0,3,0,98357,K-12 School,98357.0,,,,,Error - Correct Default Data,88.0,,3456131.5
179,NonResidential,GREATER DUWAMISH,1958,1.0,1,0,54765,Office,25765.0,Other,25000.0,,,Compliant,,,4253369.5
180,NonResidential,GREATER DUWAMISH,2009,1.0,5,0,89821,Other - Lodging/Residential,46483.0,Office,37938.0,Food Service,4579.0,Compliant,,,1950092.5
182,NonResidential,MAGNOLIA / QUEEN ANNE,1980,1.0,2,0,52611,College/University,52611.0,,,,,Compliant,,,4116871.5
183,NonResidential,MAGNOLIA / QUEEN ANNE,2001,1.0,4,37500,102100,Residence Hall/Dormitory,135520.0,,,,,Compliant,89.0,,4448582.5
185,SPS-District K-12,NORTH,2011,1.0,2,0,236758,K-12 School,238550.0,Parking,0.0,,,Compliant,96.0,,8355988.5
187,NonResidential,CENTRAL,1971,3.0,6,0,250981,Other,137565.0,Courthouse,78357.0,,,Compliant,,,13071700.0
189,SPS-District K-12,NORTHWEST,2002,1.0,3,0,62526,K-12 School,62526.0,,,,,Error - Correct Default Data,96.0,,1986094.875
338,NonResidential,DOWNTOWN,2004,1.0,11,68432,230638,Other,250000.0,,,,,Compliant,,,65336980.0
190,NonResidential,GREATER DUWAMISH,2007,1.0,3,0,64015,Office,30000.0,Non-Refrigerated Warehouse,15000.0,Other - Services,9015.0,Compliant,21.0,,3242077.75
194,NonResidential,NORTH,1951,1.0,1,0,530039,Retail Store,505103.0,Restaurant,24936.0,,,Compliant,98.0,,27717034.0
195,NonResidential,NORTH,1964,1.0,3,0,54224,Other/Specialty Hospital,47012.0,,,,,Compliant,,,7265178.0
197,NonResidential,NORTH,1965,1.0,4,0,124342,Retail Store,122000.0,,,,,Compliant,76.0,,8765978.0
198,NonResidential,NORTHEAST,1953,6.0,10,0,879000,Hospital (General Medical & Surgical),879000.0,,,,,Compliant,10.0,,253832464.0
200,NonResidential,NORTHWEST,1996,1.0,3,0,55442,Financial Office,28636.0,Parking,15385.0,Medical Office,8644.0,Compliant,72.0,,3191228.25
205,SPS-District K-12,BALLARD,1999,1.0,2,0,242795,K-12 School,242795.0,,,,,Error - Correct Default Data,80.0,,9157150.0
209,NonResidential,EAST,1910,1.0,5,0,84870,Self-Storage Facility,85521.0,,,,,Compliant,,,1381590.125
211,Campus,NORTHWEST,1970,11.0,2,111625,582447,College/University,667335.0,,,,,Compliant,,,35891484.0
212,SPS-District K-12,SOUTHEAST,1952,1.0,2,0,173185,K-12 School,173185.0,,,,,Error - Correct Default Data,79.0,,6127771.5
214,SPS-District K-12,DELRIDGE,1963,1.0,1,0,145341,K-12 School,139069.0,,,,,Error - Correct Default Data,75.0,,5499097.0
215,NonResidential,GREATER DUWAMISH,1904,1.0,4,0,114297,Non-Refrigerated Warehouse,114297.0,,,,,Compliant,61.0,,2100097.75
216,SPS-District K-12,SOUTHEAST,1960,1.0,2,0,184125,K-12 School,184125.0,,,,,Error - Correct Default Data,86.0,,8800292.0
217,SPS-District K-12,BALLARD,1959,1.0,1,0,160270,K-12 School,160270.0,,,,,Missing Data,,,0.0
220,NonResidential,GREATER DUWAMISH,1937,1.0,1,0,234144,Non-Refrigerated Warehouse,234144.0,,,,,Compliant,87.0,,6744317.0
223,NonResidential,DELRIDGE,1966,1.0,1,0,64984,Retail Store,65425.0,,,,,Compliant,72.0,,2944296.25
224,NonResidential,DELRIDGE,1965,1.0,1,0,67745,Retail Store,67782.0,,,,,Compliant,37.0,,9230223.0
225,SPS-District K-12,DELRIDGE,2010,1.0,2,0,367884,K-12 School,367884.0,,,,,Compliant,97.0,,12265516.0
226,SPS-District K-12,DELRIDGE,1958,1.0,1,0,46797,K-12 School,46797.0,,,,,Error - Correct Default Data,86.0,,2075891.0
227,SPS-District K-12,CENTRAL,1963,1.0,3,0,136188,K-12 School,136188.0,,,,,Missing Data,,,0.0
228,NonResidential,BALLARD,1973,1.0,3,0,56000,Other,56000.0,,,,,Compliant,,,1851260.5
229,SPS-District K-12,SOUTHEAST,2004,1.0,2,0,67371,K-12 School,67371.0,,,,,Error - Correct Default Data,92.0,,2128459.0
230,NonResidential,SOUTHWEST,1969,1.0,2,0,52088,Self-Storage Facility,52088.0,,,,,Compliant,,,1377519.5
231,SPS-District K-12,LAKE UNION,2010,1.0,3,0,127776,K-12 School,127776.0,,,,,Error - Correct Default Data,75.0,,4748137.0
232,NonResidential,LAKE UNION,1998,1.0,5,30000,93920,Hotel,123920.0,Parking,30000.0,Swimming Pool,0.0,Compliant,79.0,,9373179.0
233,Nonresidential COS,LAKE UNION,1900,1.0,1,0,50000,Museum,43000.0,,,,,Compliant,,,7548807.0
234,Nonresidential COS,MAGNOLIA / QUEEN ANNE,1926,1.0,2,0,50292,Non-Refrigerated Warehouse,42345.0,Residence Hall/Dormitory,5000.0,Office,4730.0,Compliant,,,430473.6875
235,NonResidential,MAGNOLIA / QUEEN ANNE,1998,1.0,7,54341,153315,Hotel,141591.0,,,,,Compliant,76.0,,11171988.0
237,SPS-District K-12,BALLARD,1999,1.0,2,0,67235,K-12 School,67235.0,,,,,Error - Correct Default Data,89.0,,2284133.75
238,Nonresidential COS,NORTHWEST,1957,1.0,2,0,91130,Office,57968.0,Distribution Center,32881.0,Parking,11850.0,Compliant,,,9472358.0
239,SPS-District K-12,SOUTHWEST,1991,1.0,3,0,58118,K-12 School,59014.0,,,,,Error - Correct Default Data,97.0,,1407277.25
241,NonResidential,NORTHWEST,1968,1.0,4,0,64893,Hotel,64893.0,,,,,Compliant,70.0,,6197825.0
242,SPS-District K-12,NORTH,1989,1.0,2,0,52792,K-12 School,55480.0,,,,,Missing Data,,,0.0
243,SPS-District K-12,GREATER DUWAMISH,1925,1.0,1,0,70762,K-12 School,70762.0,,,,,Error - Correct Default Data,87.0,,3606416.0
244,NonResidential,DOWNTOWN,1900,1.0,3,0,44558,Office,34416.0,Self-Storage Facility,7672.0,Restaurant,2470.0,Compliant,78.0,,1677002.25
245,NonResidential,GREATER DUWAMISH,1999,1.0,6,327680,1258280,Other - Entertainment/Public Assembly,1585960.0,Parking,0.0,,,Compliant,,,59757440.0
247,Nonresidential COS,GREATER DUWAMISH,1924,1.0,2,0,179161,Distribution Center,117476.0,Office,37321.0,Other,25543.0,Compliant,,,9436408.0
248,Nonresidential COS,GREATER DUWAMISH,1965,1.0,2,0,58640,Non-Refrigerated Warehouse,40831.0,Other - Services,16735.0,Office,11533.0,Compliant,,,3928695.25
249,NonResidential,GREATER DUWAMISH,1999,1.0,3,0,1172127,Other - Entertainment/Public Assembly,1172127.0,,,,,Compliant,,,58761304.0
250,NonResidential,GREATER DUWAMISH,2005,1.0,9,14567,153882,Hotel,135006.0,Parking,20600.0,Food Service,9216.0,Compliant,64.0,,12726789.0
257,NonResidential,GREATER DUWAMISH,1916,0.0,4,0,79600,Non-Refrigerated Warehouse,79600.0,,,,,Compliant,34.0,,2411402.25
260,SPS-District K-12,LAKE UNION,1997,1.0,4,0,241066,K-12 School,241066.0,,,,,Error - Correct Default Data,79.0,,7791957.0
261,Campus,GREATER DUWAMISH,1980,14.0,2,31874,302494,Office,240984.0,Laboratory,72963.0,Other - Utility,16766.0,Compliant,,,53466684.0
263,NonResidential,NORTH,2008,1.0,6,335109,84739,Parking,335109.0,Movie Theater,65000.0,Medical Office,13567.0,Compliant,,,9134963.0
264,NonResidential,MAGNOLIA / QUEEN ANNE,2002,1.0,4,0,110785,Multifamily Housing,58563.0,Supermarket/Grocery Store,48520.0,Parking,29839.0,Compliant,,,10557910.0
267,NonResidential,DOWNTOWN,1999,1.0,0,0,934292,Hotel,495536.0,Parking,438756.0,Restaurant,49700.0,Compliant,,,65047284.0
268,NonResidential,CENTRAL,1990,6.0,5,0,597519,Hospital (General Medical & Surgical),601615.0,Parking,48607.0,,,Compliant,34.0,,143423024.0
273,SPS-District K-12,DELRIDGE,1999,1.0,1,0,71714,K-12 School,71714.0,,,,,Error - Correct Default Data,87.0,,2371358.0
274,NonResidential,LAKE UNION,1991,1.0,3,8161,67236,Non-Refrigerated Warehouse,67236.0,Parking,8161.0,,,Compliant,91.0,,549181.375
276,NonResidential,EAST,2000,9.0,8,0,1158691,Hospital (General Medical & Surgical),1350182.0,Parking,387651.0,,,Compliant,29.0,,293090784.0
278,NonResidential,DOWNTOWN,1999,1.0,5,12611,90185,Senior Care Community,55259.0,Medical Office,40091.0,K-12 School,3231.0,Compliant,,,10105379.0
279,SPS-District K-12,SOUTHWEST,2002,1.0,2,0,208981,K-12 School,208981.0,,,,,Error - Correct Default Data,80.0,,8164853.0
281,NonResidential,NORTHEAST,1928,1.0,2,0,55653,K-12 School,55500.0,,,,,Compliant,98.0,,1377627.0
282,NonResidential,NORTHEAST,1931,1.0,16,0,106860,Hotel,106860.0,,,,,Compliant,49.0,,11935719.0
283,NonResidential,NORTH,1972,1.0,5,0,50759,Office,47079.0,Restaurant,3680.0,,,Compliant,62.0,,3147042.0
284,NonResidential,NORTHEAST,1952,1.0,2,0,56772,Worship Facility,56772.0,,,,,Compliant,46.0,,2439484.75
285,NonResidential,NORTHEAST,1952,1.0,3,0,103000,Worship Facility,103000.0,,,,,Compliant,42.0,,4854429.5
286,SPS-District K-12,NORTHEAST,2006,1.0,3,0,269297,K-12 School,269297.0,,,,,Error - Correct Default Data,80.0,,10498344.0
287,SPS-District K-12,NORTHEAST,2001,1.0,3,0,75174,K-12 School,75174.0,,,,,Error - Correct Default Data,77.0,,2733846.0
289,SPS-District K-12,MAGNOLIA / QUEEN ANNE,2003,1.0,3,0,75214,K-12 School,75214.0,,,,,Error - Correct Default Data,88.0,,2334260.0
290,SPS-District K-12,SOUTHWEST,2005,1.0,3,0,134918,K-12 School,134918.0,,,,,Error - Correct Default Data,91.0,,3822102.5
291,SPS-District K-12,CENTRAL,1991,1.0,2,0,64414,K-12 School,65310.0,,,,,Error - Correct Default Data,67.0,,2295176.5
292,SPS-District K-12,NORTHWEST,1927,1.0,3,0,92437,K-12 School,92437.0,,,,,Error - Correct Default Data,78.0,,4626443.0
293,NonResidential,DOWNTOWN,1914,1.0,7,0,128766,Other - Entertainment/Public Assembly,109754.0,Other,12876.0,Office,6136.0,Compliant,,,6057410.0
294,NonResidential,DOWNTOWN,1913,1.0,9,0,107572,Residence Hall/Dormitory,63934.0,Office,27143.0,Retail Store,10568.0,Compliant,76.0,,5572503.0
295,NonResidential,DOWNTOWN,1955,1.0,15,0,230880,Other,203000.0,,,,,Compliant,,,62197176.0
300,SPS-District K-12,GREATER DUWAMISH,2007,1.0,3,0,204961,K-12 School,204961.0,,,,,Error - Correct Default Data,94.0,,8190809.0
302,NonResidential,MAGNOLIA / QUEEN ANNE,1973,1.0,1,0,76086,Other,77810.0,,,,,Compliant,,,3267564.0
313,NonResidential,MAGNOLIA / QUEEN ANNE,1927,1.0,5,39000,151000,Medical Office,146741.0,Office,9805.0,,,Compliant,1.0,,28731502.0
314,NonResidential,DOWNTOWN,1961,1.0,4,0,122309,Hotel,122309.0,,,,,Compliant,8.0,,25453690.0
315,Campus,DOWNTOWN,1995,4.0,3,0,215476,Other,217088.0,,,,,Compliant,,,24017770.0
316,NonResidential,DOWNTOWN,2003,1.0,8,38800,215473,Hotel,277000.0,,,,,Compliant,29.0,,26659244.0
317,Nonresidential COS,DOWNTOWN,1980,1.0,2,0,69400,Other - Entertainment/Public Assembly,69400.0,,,,,Compliant,,,14833476.0
318,NonResidential,DOWNTOWN,1900,1.0,1,0,62900,Restaurant,32494.0,Other,29793.0,Retail Store,3384.300049,Compliant,,,10394330.0
319,NonResidential,DOWNTOWN,1914,1.0,4,0,56500,Office,33000.0,Retail Store,7000.0,,,Compliant,98.0,,1380293.625
320,NonResidential,GREATER DUWAMISH,2008,1.0,4,0,203504,Non-Refrigerated Warehouse,159372.0,Other - Services,44132.0,,,Compliant,72.0,,3785282.5
